State_Name,MeanIncome,MedianIncome,StdIncome,NumRecords
Alabama,53549.83745717548,39615.5,42014.471830985916,5254
Alaska,73461.35639810427,67904.0,48921.791469194315,1055
Arizona,62840.83979244365,48840.0,43943.43197664991,6167
Arkansas,51109.237562555194,37790.0,40652.412717103325,3397
California,78650.14139350511,65296.0,53898.916542155814,32795
Colorado,74432.32472464869,61567.0,49993.99240410179,5266
Connecticut,88084.28671721427,79490.0,57656.458298230835,3561
Delaware,73794.47591743119,59351.0,51592.26834862385,872
District of Columbia,91846.43492063491,75776.5,62716.184126984124,630
Florida,61724.72185111633,46591.0,46013.25010531383,16617
Georgia,60445.872205253516,44089.0,45191.57617593158,8185
Hawaii,78819.7327523602,70749.0,52318.05591866376,1377
Idaho,56377.80990629183,45317.5,41945.33266398929,1494
Illinois,69947.43727298127,55841.0,48945.17700474993,14316
Indiana,58199.19086900868,47864.0,41537.10339923197,7031
Iowa,61412.062403528114,51400.0,43846.59073869901,4535
Kansas,60683.55727391874,48494.0,42323.00917431193,3815
Kentucky,55199.07072335281,40887.0,42072.66512190208,4963
Louisiana,56549.06440877056,41661.0,45400.669929522315,5108
Maine,60176.52541296061,47477.0,46066.034942820836,1574
Maryland,87913.69387058221,79395.0,55087.99453645211,5857
Massachusetts,84740.10655737705,74480.0,57614.56780923994,6710
Michigan,59765.45665133708,46981.0,43122.64699369784,11742
Minnesota,71721.56747891284,58436.0,49248.96501093408,6402
Mississippi,49090.0056057303,35809.0,40347.291186546245,3211
Missouri,57542.84885714286,43964.0,41869.33185714285,7000
Montana,58254.98650472335,46468.0,44113.906882591094,1482
Nebraska,62938.65395787945,51751.5,43866.86129266521,2754
Nevada,64949.36737000754,54657.0,44575.22569706104,2654
New Hampshire,78389.863878327,68590.0,53216.276045627375,1315
New Jersey,89249.17429022082,79926.0,58062.17282559712,8876
New Mexico,56187.235,43261.5,42956.05458333333,2400
New York,75745.79503565805,60819.0,53001.25761785681,21594
North Carolina,58557.675663861875,43739.0,43952.42694787455,9151
North Dakota,67635.42953586498,56572.0,48591.17130801688,1185
Ohio,60080.73095732069,47907.5,42999.01192946058,13496
Oklahoma,56574.45679783469,42745.0,42770.957526545906,4803
Oregon,63958.41371280725,51082.0,46536.53505821475,3865
Pennsylvania,65502.47090341834,52457.0,46881.80412371134,14744
Puerto Rico,27613.839736842107,17349.5,25314.11894736842,3800
Rhode Island,72224.26940639269,61364.0,51873.56438356164,1095
South Carolina,55413.45870560035,41190.0,42930.06580954456,4589
South Dakota,58639.960876369325,48758.0,42845.255086071986,1278
Tennessee,56584.582540203475,41515.0,42720.13849688218,6094
Texas,65528.01508105524,49835.0,46326.22121778435,23009
Utah,72216.35826620637,62922.0,47094.02032988109,2607
Vermont,65696.36275695285,54891.0,49079.48972188633,827
Virginia,79932.47650579397,64103.0,50938.72367248186,7853
Washington,75276.7911576498,64156.0,50702.7310936591,6876
West Virginia,52394.05379365716,39983.0,41937.77679646728,2491
Wisconsin,63259.944065281896,52830.5,44564.37759643917,6740
Wyoming,68398.78313253012,61092.0,46078.24096385542,747
